Número,Fecha de entrega,Fecha de cierre,Prioridad,Estado,Título,Cerrado por,Nombre de Aplicación,Categoría del sitio,Bdo Tipo de Solicitud,Tipo solici,Tipo de Solicitud
"RF773301","02/10/25 16:04:10","07/10/25 12:07:14","4 - Baja","Cerrado","DESBLOQUEO Y ASIGNACION DE NUEVA CONTRASEÑA","JSDIAZ","FIRST DATA","A","","",""
"RF773406","02/10/25 17:31:51","07/10/25 12:11:00","4 - Baja","Cerrado","NEXA BPO-DESBLOQUEO Y ASIGNACIÓN DE NUEVA CONTRASEÑA","JSDIAZ","FIRST DATA","B","","",""
"RF773857","03/10/25 14:50:30","06/10/25 10:54:29","4 - Baja","Cerrado","UGR DESBLOQUEO USUARIO FD","JSDIAZ","FIRST DATA","A","","",""
"RF773896","03/10/25 15:16:44","07/10/25 12:04:45","4 - Baja","Cerrado","first data","JSDIAZ","FIRST DATA","B","","",""
"RF774015","03/10/25 16:42:56","07/10/25 12:12:24","4 - Baja","Cerrado","Desbloqueo y asignación de nueva contraseña First data usuario nexabpo","JSDIAZ","FIRST DATA","B","","",""
"RF774177","06/10/25 09:07:54","07/10/25 12:02:13","4 - Baja","Cerrado","DESBLOQUEO FIRST DATA","JSDIAZ","FIRST DATA","B","","",""
"RF774519","06/10/25 12:00:55","07/10/25 12:14:45","4 - Baja","Cerrado","Nexa BPO Desbloqueo usuario First Data","JSDIAZ","FIRST DATA","A","","",""
"RF774570","06/10/25 12:36:58","10/10/25 11:14:12","4 - Baja","Cerrado","CREACION USUARIO FRIST VISION","JSDIAZ","FIRST VISION","A","","",""
"RF774809","06/10/25 15:55:43","07/10/25 12:03:40","4 - Baja","Cerrado","DESBLOQUEO Y RESTABLECIMIENTO DE USUARIO","JSDIAZ","FIRST DATA","B","","",""
"RF774812","06/10/25 15:57:09","07/10/25 12:15:47","4 - Baja","Cerrado","DESBLOQUEO USUARIO FIRTS DATA - NEXA BPO","JSDIAZ","FIRST DATA","B","","",""
"RF774949","06/10/25 19:08:15","10/10/25 16:22:21","4 - Baja","Cerrado","GCIA OPERACIONES- SWIFT IZQUIERO","JSDIAZ","SWIFT IZQUIERDO","A","","",""
"RF774972","06/10/25 22:48:55","07/10/25 11:45:03","4 - Baja","Cerrado","SE SOLICITA CAMBIO DE CLAVE AL APLICATIVO DE FD.","JSDIAZ","FIRST DATA","A","","",""
"RF775033","07/10/25 08:38:00","10/10/25 11:20:46","4 - Baja","Cerrado","creacion usuario","JSDIAZ","FIRST VISION","A","","",""
"RF775134","07/10/25 09:53:05","08/10/25 11:50:49","4 - Baja","Cerrado","DESBLOQUEO FIRSDATA UGR","JSDIAZ","FIRST DATA","A","","",""
"RF775146","07/10/25 10:00:49","08/10/25 12:21:21","4 - Baja","Cerrado","DESBLOQUEO APLICACION FIRST VISION - NUEVA CLAVE","JSDIAZ","FIRST VISION","B","","",""
"RF775271","07/10/25 11:54:01","10/10/25 11:32:07","4 - Baja","Cerrado","DESBLOQUEO Y GENERACIÓN DE CLAVE FIRST DATA NEXA","JSDIAZ","FIRST DATA","A","","",""
"RF775377","07/10/25 14:50:47","08/10/25 11:56:52","4 - Baja","Cerrado","Modificación perfil URE 1","JSDIAZ","FIRST DATA","A","","",""
"RF775481","07/10/25 16:20:51","08/10/25 14:16:32","4 - Baja","Cerrado","DESBLOQUEO USUARIO FIRST DATA","JSDIAZ","FIRST DATA","A","","",""
"RF775539","07/10/25 17:26:12","15/10/25 11:53:10","4 - Baja","Cerrado","Creación de usuario y contraseña de first data","JSDIAZ","FIRST DATA","A","","",""
"RF775540","07/10/25 17:26:15","15/10/25 11:55:26","4 - Baja","Cerrado","CREACION DE USUARIO Y CONTRASEÑA FIRSTDATA","JSDIAZ","FIRST DATA","A","","",""
"RF775559","07/10/25 17:45:10","10/10/25 11:33:24","4 - Baja","Cerrado","DESBLOQUEO FIRST DATA","JSDIAZ","FIRST DATA","A","","",""
"RF775569","07/10/25 17:59:53","10/10/25 11:38:23","4 - Baja","Cerrado","DESBLOQUEO USUARIO FIRSDATA NEXA_BPO","JSDIAZ","FIRST DATA","D","","",""
"RF775599","08/10/25 06:34:41","10/10/25 11:39:51","4 - Baja","Cerrado","NEXA_BPO DESBLOQUEO CON ASIGNACION DE NUEVA CLAVE USUARIO FIRST DATA","JSDIAZ","FIRST DATA","C","","",""
"RF775605","08/10/25 07:42:07","09/10/25 10:18:06","4 - Baja","Cerrado","DESBLOQUEO DE USUARIO DE FIRST DATA","JSDIAZ","FIRST DATA","A","","",""
"RF775680","08/10/25 09:22:01","15/10/25 11:57:17","4 - Baja","Cerrado","Creación de Usuario Firstdata/FirstVision","JSDIAZ","FIRST VISION","A","","",""
"RF775757","08/10/25 10:10:48","10/10/25 11:40:47","4 - Baja","Cerrado","Desbloqueo de usuario con cambio de clave","JSDIAZ","FIRST DATA","A","","",""
"RF775820","08/10/25 10:43:56","10/10/25 11:42:30","4 - Baja","Cerrado","FIRT DATA","JSDIAZ","FIRST DATA","B","","",""
"RF775887","08/10/25 11:30:19","10/10/25 11:43:32","4 - Baja","Cerrado","desbloque usuario","JSDIAZ","FIRST VISION","A","","",""
"RF776359","09/10/25 08:02:55","15/10/25 11:37:55","4 - Baja","Cerrado","DESBLOQUEO DE USUARIO","JSDIAZ","FIRST VISION","A","","",""
"RF776444","09/10/25 09:15:55","10/10/25 11:45:11","4 - Baja","Cerrado","NEXA BPO DESBLOQUEO DE USUARIO","JSDIAZ","FIRST DATA","A","","",""
"RF776561","09/10/25 10:58:09","10/10/25 11:47:10","4 - Baja","Cerrado","DESBLOQUEO FIRST","JSDIAZ","FIRST DATA","A","","",""
"RF776819","09/10/25 15:19:15","10/10/25 11:49:10","4 - Baja","Cerrado","DESBLOQUEO DE USUARIO","JSDIAZ","FIRST VISION","A","","",""
"RF776851","09/10/25 15:33:08","10/10/25 11:29:01","4 - Baja","Cerrado","ANS_REQUERIMIENTO_DE_LEY - UGR","JSDIAZ","FIRST VISION","A","","",""
"RF776982","09/10/25 17:58:17","15/10/25 11:39:42","4 - Baja","Cerrado","NEXA BPO-DESBLOQUEO Y ASIGNACIÓN DE NUEVA CONTRASEÑA","JSDIAZ","FIRST DATA","B","","",""
"RF777024","10/10/25 08:05:00","20/10/25 08:24:27","4 - Baja","Cerrado","Desbloqueo de usuario","JSDIAZ","FIRST DATA","B","","",""
"RF777029","10/10/25 08:10:17","20/10/25 08:25:49","4 - Baja","Cerrado","DESBLOQUEO FIRST DATA","JSDIAZ","FIRST DATA","A","","",""
"RF777205","10/10/25 10:36:18","22/10/25 09:31:29","4 - Baja","Cerrado","DESBLOQUEO DE FIRST DATA -NEXA BPO","JSDIAZ","FIRST DATA","A","","",""
"RF777310","10/10/25 11:57:21","15/10/25 11:42:26","4 - Baja","Cerrado","Desbloqueo first data","JSDIAZ","FIRST DATA","A","","",""
"RF777317","10/10/25 12:00:43","22/10/25 09:33:04","4 - Baja","Cerrado","DESBLOQUEO DE FIRST NEXA BPO","JSDIAZ","FIRST VISION","B","","",""
"RF777445","10/10/25 15:10:38","22/10/25 09:34:03","4 - Baja","Cerrado","Desbloqueo y asignación de nueva contraseña First data usuario nexabpo","JSDIAZ","FIRST DATA","A","","",""
"RF777446","10/10/25 15:10:41","22/10/25 09:35:00","4 - Baja","Cerrado","DESBLOQUEO Y ASIGNACION DE NUEVA CONTRASEÑA","JSDIAZ","FIRST DATA","A","","",""
"RF777530","10/10/25 16:29:04","22/10/25 09:36:00","4 - Baja","Cerrado","DESBLOQUEO USUARIO FIRST DATA","JSDIAZ","FIRST DATA","A","","",""
"RF777632","11/10/25 18:52:30","22/10/25 09:37:59","4 - Baja","Cerrado","DESBLOQUO Y ASIGNACIONDE NUEVA CONTRASEÑA","JSDIAZ","FIRST DATA","B","","",""
"RF777633","12/10/25 07:48:54","15/10/25 11:43:31","4 - Baja","Cerrado","Debloquear usuario con cambio de clave","JSDIAZ","FIRST VISION","A","","",""
"RF777639","13/10/25 07:51:47","15/10/25 11:44:57","4 - Baja","Cerrado","DESBLOQUEO DE USUARIO Y ASIGNACION NUEVA CLAVE","JSDIAZ","FIRST DATA","B","","",""
"RF777671","14/10/25 08:22:47","22/10/25 09:39:11","4 - Baja","Cerrado","DESBLOQUEO FIRST DATA","JSDIAZ","FIRST DATA","B","","",""
"RF777709","14/10/25 09:01:10","22/10/25 09:40:21","4 - Baja","Cerrado","DESBLOQUEO DE USUARIO DE FIRST DATA","JSDIAZ","FIRST DATA","A","","",""
"RF777725","14/10/25 09:14:14","22/10/25 09:42:01","4 - Baja","Cerrado","DESBLOQUEO APLICATIVO FIRTS DATA","JSDIAZ","FIRST DATA","B","","",""
"RF777786","14/10/25 09:52:10","15/10/25 11:46:10","4 - Baja","Cerrado","Solicitud desbloqueo usuario","JSDIAZ","FIRST DATA","A","","",""
"RF777957","14/10/25 11:48:46","15/10/25 11:47:35","4 - Baja","Cerrado","DESBLOQUEO","JSDIAZ","FIRST DATA","B","","",""
"RF778069","14/10/25 14:13:27","22/10/25 09:43:20","4 - Baja","Cerrado","FRIT DATA","JSDIAZ","FIRST DATA","B","","",""
"RF778323","14/10/25 18:17:35","22/10/25 09:45:16","4 - Baja","Cerrado","DESBLOQUEO DE USUARIO Y REESTABLECIMIENTO DE CONTRASEÑA","JSDIAZ","FIRST DATA","B","","",""
"RF778324","14/10/25 18:20:40","22/10/25 09:46:35","4 - Baja","Cerrado","DESBLOQUEO Y REESTABLECIMIENTO DE CONTRASEÑA","JSDIAZ","FIRST DATA","B","","",""
"RF778326","14/10/25 18:38:59","22/10/25 09:47:59","4 - Baja","Cerrado","DESBLOQUEAR Y GENERAR CONTRASEÑA FIRST DATA FUNCIONARIO NEXA","JSDIAZ","FIRST DATA","A","","",""
"RF778355","15/10/25 04:59:12","22/10/25 09:49:20","4 - Baja","Cerrado","NEXA DESBLOQUEO Y ASIGNACION DE CONTRASEÑA FIRST_DATA","JSDIAZ","FIRST DATA","B","","",""
